Pokemon,Dex_Number,Move_Count,All_Moves
Crabominable,740,74,Amnesia; Avalanche; Blizzard; Body Press; Body Slam; Brick Break; Bubble Beam; Bulk Up; Bulldoze; Chilling Water; Close Combat; Coaching; Comet Punch; Crabhammer; Dig; Drain Punch; Dynamic Punch; Earthquake; Endeavor; Endure; Facade; First Impression; Fling; Focus Blast; Focus Punch; Giga Impact; Gunk Shot; Hard Press; Harden; Helping Hand; Hyper Beam; Ice Beam; Ice Hammer; Ice Punch; Ice Spinner; Icicle Spear; Icy Wind; Iron Defense; Iron Head; Knock Off; Leer; Liquidation; Mach Punch; Mud Shot; Mud-Slap; Payback; Protect; Rain Dance; Rest; Reversal; Rock Slide; Rock Smash; Rock Tomb; Scary Face; Sheer Cold; Slam; Sleep Talk; Snowscape; Stomping Tantrum; Substitute; Sunny Day; Superpower; Swagger; Swift; Take Down; Taunt; Tera Blast; Thief; Thunder Punch; Torment; Upper Hand; Vise Grip; Wide Guard; Zen Headbutt
Clefable,036,107,After You; Air Slash; Alluring Voice; Amnesia; Baton Pass; Blizzard; Body Slam; Brick Break; Bubble Beam; Calm Mind; Charge Beam; Charm; Chilling Water; Copycat; Cosmic Power; Dazzling Gleam; Defense Curl; Dig; Disarming Voice; Double-Edge; Drain Punch; Draining Kiss; Dream Eater; Dual Wingbeat; Encore; Endeavor; Endure; Facade; Fairy Wind; Fake Tears; Fire Blast; Fire Punch; Flamethrower; Fling; Focus Blast; Focus Punch; Follow Me; Future Sight; Giga Impact; Grass Knot; Gravity; Growl; Headbutt; Heal Block; Heal Pulse; Healing Wish; Helping Hand; Hyper Beam; Hyper Voice; Ice Beam; Ice Punch; Icy Wind; Imprison; Iron Tail; Knock Off; Life Dew; Light Screen; Magical Leaf; Meteor Beam; Meteor Mash; Metronome; Misty Explosion; Misty Terrain; Moonblast; Moonlight; Mystical Fire; Night Shade; Play Rough; Pound; Present; Protect; Psybeam; Psych Up; Psychic; Psyshock; Rain Dance; Reflect; Rest; Safeguard; Shadow Ball; Sing; Skill Swap; Sleep Talk; Solar Beam; Splash; Stealth Rock; Stored Power; Substitute; Sunny Day; Sweet Kiss; Swift; Tackle; Take Down; Tera Blast; Thief; Thunder; Thunder Punch; Thunder Wave; Thunderbolt; Tickle; Tri Attack; Trick; Uproar; Water Pulse; Wish; Work Up; Zen Headbutt
Slowbro,080,109,Acid; Acid Spray; Amnesia; Ancient Power; Avalanche; Belch; Belly Drum; Blizzard; Block; Body Press; Body Slam; Brick Break; Bulldoze; Calm Mind; Chilling Water; Confusion; Curse; Dig; Disable; Double-Edge; Drain Punch; Dream Eater; Earthquake; Endure; Expanding Force; Facade; Fire Blast; Fire Punch; Flamethrower; Fling; Focus Blast; Focus Punch; Foul Play; Future Sight; Giga Impact; Grass Knot; Growl; Gunk Shot; Haze; Headbutt; Heal Block; Heal Pulse; Helping Hand; Hydro Pump; Hyper Beam; Ice Beam; Ice Fang; Ice Punch; Icy Wind; Imprison; Iron Defense; Iron Tail; Light Screen; Liquidation; Metronome; Mud Shot; Muddy Water; Nasty Plot; Poison Jab; Power Gem; Protect; Psybeam; Psych Up; Psychic; Psychic Noise; Psychic Terrain; Psyshock; Rain Dance; Rest; Rock Blast; Safeguard; Sandstorm; Scald; Scary Face; Shadow Ball; Shell Side Arm; Skill Swap; Skull Bash; Slack Off; Sleep Talk; Sludge Bomb; Sludge Wave; Smack Down; Snowscape; Stomp; Stored Power; Substitute; Sunny Day; Surf; Swift; Tackle; Take Down; Tera Blast; Thunder Punch; Thunder Wave; Toxic; Toxic Spikes; Tri Attack; Trick; Trick Room; Venoshock; Water Gun; Water Pulse; Waterfall; Weather Ball; Whirlpool; Withdraw; Yawn; Zen Headbutt
Gyarados,130,69,Aqua Tail; Avalanche; Bite; Blizzard; Body Slam; Bounce; Brine; Bulldoze; Chilling Water; Crunch; Dark Pulse; Double-Edge; Dragon Cheer; Dragon Dance; Dragon Pulse; Dragon Rush; Dragon Tail; Earthquake; Endeavor; Endure; Facade; Fire Blast; Flail; Flamethrower; Giga Impact; Helping Hand; Hurricane; Hydro Pump; Hyper Beam; Ice Beam; Ice Fang; Icy Wind; Iron Head; Iron Tail; Lash Out; Leer; Muddy Water; Outrage; Protect; Rain Dance; Rest; Roar; Sandstorm; Scald; Scale Shot; Scary Face; Skull Bash; Sleep Talk; Spite; Splash; Stone Edge; Substitute; Sunny Day; Surf; Swagger; Tackle; Take Down; Taunt; Temper Flare; Tera Blast; Thrash; Thunder; Thunder Wave; Thunderbolt; Twister; Water Gun; Water Pulse; Waterfall; Whirlpool
Umbreon,197,79,Alluring Voice; Assurance; Baby-Doll Eyes; Baton Pass; Bite; Body Slam; Calm Mind; Charm; Confuse Ray; Copycat; Covet; Crunch; Curse; Dark Pulse; Detect; Dig; Disarming Voice; Double Kick; Double-Edge; Dream Eater; Endure; Facade; Fake Tears; Flail; Foul Play; Giga Impact; Growl; Guard Swap; Helping Hand; Hyper Beam; Hyper Voice; Iron Tail; Knock Off; Lash Out; Last Resort; Light Screen; Mean Look; Mimic; Moonlight; Mud-Slap; Ominous Wind; Protect; Psych Up; Psychic; Quick Attack; Rain Dance; Razor Wind; Reflect; Rest; Roar; Sand Attack; Scary Face; Screech; Shadow Ball; Skill Swap; Skull Bash; Sleep Talk; Snarl; Spite; Stored Power; Substitute; Sunny Day; Swagger; Swift; Tackle; Tail Whip; Take Down; Taunt; Tera Blast; Thief; Throat Chop; Thunder Wave; Tickle; Torment; Toxic; Trailblaze; Weather Ball; Wish; Yawn
Slowking,199,112,Acid; Acid Spray; Amnesia; Ancient Power; Avalanche; Belch; Belly Drum; Blizzard; Block; Body Slam; Brick Break; Bulldoze; Calm Mind; Chilling Water; Chilly Reception; Confusion; Curse; Dig; Disable; Drain Punch; Dream Eater; Earthquake; Eerie Spell; Endure; Expanding Force; Facade; Fire Blast; Fire Punch; Flamethrower; Fling; Focus Blast; Focus Punch; Foul Play; Future Sight; Giga Impact; Grass Knot; Growl; Gunk Shot; Headbutt; Heal Block; Heal Pulse; Helping Hand; Hex; Hydro Pump; Hyper Beam; Ice Beam; Ice Punch; Icy Wind; Imprison; Iron Defense; Iron Tail; Light Screen; Liquidation; Low Sweep; Metronome; Mud Shot; Muddy Water; Nasty Plot; Ominous Wind; Poison Jab; Power Gem; Protect; Psybeam; Psych Up; Psychic; Psychic Noise; Psychic Terrain; Psyshock; Rain Dance; Reflect; Rest; Rock Slide; Rock Tomb; Safeguard; Scald; Scary Face; Shadow Ball; Skill Swap; Skull Bash; Slack Off; Sleep Talk; Sludge Bomb; Sludge Wave; Snarl; Snowscape; Stomp; Stomping Tantrum; Stored Power; Substitute; Sunny Day; Surf; Swagger; Swift; Tackle; Take Down; Taunt; Tera Blast; Thunder Punch; Thunder Wave; Toxic; Toxic Spikes; Tri Attack; Trick; Trick Room; Venoshock; Water Gun; Water Pulse; Waterfall; Weather Ball; Whirlpool; Yawn; Zen Headbutt
Milotic,350,71,Alluring Voice; Aqua Ring; Aqua Tail; Attract; Avalanche; Blizzard; Body Slam; Breaking Swipe; Bulldoze; Calm Mind; Chilling Water; Coil; Confuse Ray; Dazzling Gleam; Disarming Voice; Double-Edge; Dragon Breath; Dragon Cheer; Dragon Dance; Dragon Pulse; Dragon Tail; Draining Kiss; Endure; Facade; Flail; Flip Turn; Giga Impact; Haze; Helping Hand; Hydro Pump; Hyper Beam; Hypnosis; Ice Beam; Icy Wind; Imprison; Iron Head; Iron Tail; Life Dew; Light Screen; Liquidation; Mimic; Mirror Coat; Mist; Mud Shot; Muddy Water; Protect; Psych Up; Rain Dance; Recover; Rest; Safeguard; Scald; Scale Shot; Skitter Smack; Sleep Talk; Splash; Substitute; Surf; Swift; Tackle; Take Down; Tera Blast; Tickle; Triple Axel; Twister; Water Gun; Water Pulse; Waterfall; Weather Ball; Whirlpool; Wrap
Salamence,373,68,Aerial Ace; Air Slash; Bite; Body Slam; Breaking Swipe; Brick Break; Bulldoze; Crunch; Defense Curl; Double-Edge; Draco Meteor; Dragon Breath; Dragon Cheer; Dragon Claw; Dragon Dance; Dragon Pulse; Dragon Rush; Dragon Tail; Dual Wingbeat; Earthquake; Ember; Endure; Facade; Fire Blast; Fire Fang; Fire Spin; Flame Charge; Flamethrower; Fly; Focus Energy; Giga Impact; Headbutt; Heat Wave; Helping Hand; Hurricane; Hydro Pump; Hyper Beam; Hyper Voice; Iron Defense; Iron Head; Leer; Mud-Slap; Outrage; Protect; Psychic Fangs; Rain Dance; Rest; Roar; Rock Slide; Rock Tomb; Roost; Scale Shot; Scary Face; Shadow Claw; Skull Bash; Sleep Talk; Stone Edge; Substitute; Sunny Day; Swift; Tailwind; Take Down; Temper Flare; Tera Blast; Thrash; Thunder Fang; Twister; Zen Headbutt
Krookodile,553,79,Aerial Ace; Aqua Tail; Bite; Body Slam; Breaking Swipe; Brick Break; Bulk Up; Bulldoze; Close Combat; Counter; Crunch; Curse; Dark Pulse; Dig; Double-Edge; Dragon Claw; Dragon Pulse; Dragon Tail; Earth Power; Earthquake; Endeavor; Endure; Facade; Fire Fang; Fissure; Fling; Focus Blast; Focus Punch; Foul Play; Giga Impact; Grass Knot; Gunk Shot; Helping Hand; High Horsepower; Hone Claws; Hyper Beam; Iron Head; Iron Tail; Knock Off; Lash Out; Leer; Low Kick; Low Sweep; Mud Shot; Mud-Slap; Outrage; Power Trip; Protect; Rest; Roar; Rock Slide; Rock Tomb; Sand Attack; Sand Tomb; Sandstorm; Scale Shot; Scary Face; Scorching Sands; Shadow Claw; Skitter Smack; Sleep Talk; Sludge Bomb; Smack Down; Snarl; Spite; Stealth Rock; Stomping Tantrum; Stone Edge; Substitute; Swagger; Tackle; Take Down; Taunt; Tera Blast; Thief; Thrash; Throat Chop; Thunder Fang; Torment
Pangoro,675,55,Body Slam; Brick Break; Brutal Swing; Bulk Up; Bulldoze; Bullet Punch; Circle Throw; Close Combat; Comet Punch; Crunch; Dark Pulse; Detect; Dig; Dragon Claw; Drain Punch; Dual Chop; Earthquake; Endure; Facade; False Swipe; Fire Punch; Focus Blast; Focus Energy; Giga Drain; Giga Impact; Gunk Shot; Hyper Beam; Hyper Voice; Ice Punch; Iron Head; Knock Off; Leer; Low Sweep; Night Slash; Outrage; Parting Shot; Poison Jab; Power-Up Punch; Protect; Rock Slide; Rock Smash; Rock Tomb; Shadow Claw; Slash; Sludge Bomb; Stone Edge; Storm Throw; Substitute; Surf; Swords Dance; Tackle; Taunt; Thunder Punch; Work Up; Zen Headbutt
Sylveon,700,64,Alluring Voice; Baby-Doll Eyes; Baton Pass; Bite; Body Slam; Calm Mind; Charm; Copycat; Covet; Curse; Dazzling Gleam; Detect; Dig; Disarming Voice; Double Kick; Double-Edge; Draining Kiss; Endure; Facade; Fake Tears; Flail; Giga Impact; Growl; Helping Hand; Hyper Beam; Hyper Voice; Iron Tail; Last Resort; Light Screen; Magical Leaf; Mimic; Misty Explosion; Misty Terrain; Moonblast; Mud-Slap; Play Rough; Protect; Psych Up; Psychic; Psyshock; Quick Attack; Rain Dance; Reflect; Rest; Roar; Sand Attack; Shadow Ball; Skill Swap; Skull Bash; Sleep Talk; Stored Power; Substitute; Sunny Day; Swift; Tackle; Tail Whip; Take Down; Taunt; Tera Blast; Tickle; Trailblaze; Weather Ball; Wish; Yawn
Avalugg,713,62,Ancient Power; Aurora Veil; Avalanche; Bite; Blizzard; Body Press; Body Slam; Bulldoze; Chilling Water; Crunch; Curse; Dig; Double-Edge; Earthquake; Endure; Facade; Flash Cannon; Frost Breath; Giga Impact; Gyro Ball; Hard Press; Harden; Heavy Slam; High Horsepower; Hydro Pump; Hyper Beam; Ice Beam; Ice Fang; Ice Spinner; Icicle Crash; Icicle Spear; Icy Wind; Iron Defense; Iron Head; Meteor Beam; Mirror Coat; Mist; Mountain Gale; Powder Snow; Protect; Rain Dance; Rapid Spin; Recover; Rest; Rock Blast; Rock Slide; Rock Tomb; Sandstorm; Scary Face; Sheer Cold; Skull Bash; Sleep Talk; Snowscape; Stealth Rock; Stomping Tantrum; Stone Edge; Substitute; Surf; Tackle; Take Down; Tera Blast; Wide Guard
Dragonite,149,94,Aerial Ace; Agility; Air Cutter; Air Slash; Aqua Jet; Aqua Tail; Blizzard; Body Press; Body Slam; Breaking Swipe; Brick Break; Brutal Swing; Bulldoze; Chilling Water; Draco Meteor; Dragon Breath; Dragon Cheer; Dragon Claw; Dragon Dance; Dragon Pulse; Dragon Rush; Dragon Tail; Dual Wingbeat; Earthquake; Encore; Endure; Extreme Speed; Facade; Fire Blast; Fire Punch; Fire Spin; Flamethrower; Fling; Fly; Focus Blast; Focus Punch; Giga Impact; Haze; Heat Wave; Helping Hand; Hurricane; Hydro Pump; Hyper Beam; Ice Beam; Ice Punch; Ice Spinner; Icy Wind; Iron Head; Leer; Light Screen; Low Kick; Metronome; Mist; Outrage; Protect; Rain Dance; Razor Wind; Rest; Roar; Rock Slide; Rock Tomb; Roost; Safeguard; Sandstorm; Scale Shot; Scary Face; Skull Bash; Slam; Sleep Talk; Snowscape; Stomping Tantrum; Stone Edge; Substitute; Sunny Day; Supersonic; Surf; Swift; Tackle; Tailwind; Take Down; Tera Blast; Thunder; Thunder Punch; Thunder Wave; Thunderbolt; Twister; Vacuum Wave; Water Pulse; Waterfall; Weather Ball; Whirlpool; Whirlwind; Wing Attack; Wrap
Heatran,485,58,Ancient Power; Body Press; Body Slam; Bulldoze; Burning Jealousy; Crunch; Dark Pulse; Dig; Dragon Pulse; Earth Power; Earthquake; Endure; Facade; Fire Blast; Fire Fang; Fire Spin; First Impression; Flame Charge; Flamethrower; Flare Blitz; Flash Cannon; Giga Impact; Hard Press; Heat Crash; Heat Wave; Heavy Slam; Hyper Beam; Iron Defense; Iron Head; Lava Plume; Leer; Lunge; Magma Storm; Metal Claw; Metal Sound; Overheat; Pounce; Power Gem; Protect; Rest; Rock Blast; Rock Slide; Rock Tomb; Sandstorm; Scary Face; Scorching Sands; Sleep Talk; Solar Beam; Stealth Rock; Steel Beam; Stomping Tantrum; Stone Edge; Substitute; Sunny Day; Take Down; Taunt; Tera Blast; Will-O-Wisp
Cobalion,638,64,Aerial Ace; Air Slash; Aura Sphere; Body Press; Body Slam; Bounce; Brick Break; Calm Mind; Close Combat; Coaching; Double Kick; Double-Edge; Endure; Facade; False Swipe; Flash Cannon; Focus Blast; Giga Impact; Headbutt; Heavy Slam; Helping Hand; Hyper Beam; Iron Defense; Iron Head; Leer; Megahorn; Metal Burst; Metal Claw; Metal Sound; Poison Jab; Protect; Psych Up; Quick Attack; Quick Guard; Rain Dance; Reflect; Rest; Retaliate; Reversal; Roar; Sacred Sword; Safeguard; Sandstorm; Scary Face; Skull Bash; Sleep Talk; Smart Strike; Stealth Rock; Steel Beam; Stone Edge; Substitute; Sunny Day; Swift; Swords Dance; Take Down; Taunt; Tera Blast; Thunder Wave; Upper Hand; Vacuum Wave; Volt Switch; Work Up; X-Scissor; Zen Headbutt
Terrakion,639,62,Aerial Ace; Air Slash; Aura Sphere; Body Slam; Brick Break; Bulldoze; Calm Mind; Close Combat; Coaching; Double Kick; Double-Edge; Earth Power; Earthquake; Endure; Facade; False Swipe; Focus Blast; Giga Impact; Head Smash; Headbutt; Heavy Slam; Helping Hand; High Horsepower; Hyper Beam; Iron Head; Leer; Megahorn; Poison Jab; Protect; Psych Up; Quick Attack; Quick Guard; Reflect; Rest; Retaliate; Reversal; Roar; Rock Blast; Rock Slide; Rock Throw; Rock Tomb; Sacred Sword; Safeguard; Sandstorm; Scary Face; Skull Bash; Sleep Talk; Smack Down; Smart Strike; Stealth Rock; Stomping Tantrum; Stone Edge; Substitute; Swift; Swords Dance; Take Down; Taunt; Tera Blast; Upper Hand; Work Up; X-Scissor; Zen Headbutt
Virizion,640,67,Aerial Ace; Air Slash; Aura Sphere; Body Slam; Bounce; Brick Break; Bullet Seed; Calm Mind; Close Combat; Coaching; Double Kick; Double-Edge; Endure; Energy Ball; Facade; False Swipe; Focus Blast; Giga Drain; Giga Impact; Grass Knot; Grassy Glide; Headbutt; Helping Hand; Horn Leech; Hyper Beam; Iron Defense; Leaf Blade; Leaf Storm; Leer; Light Screen; Magical Leaf; Megahorn; Poison Jab; Protect; Psych Up; Quick Attack; Quick Guard; Reflect; Rest; Retaliate; Reversal; Roar; Sacred Sword; Safeguard; Scary Face; Seed Bomb; Skull Bash; Sleep Talk; Smart Strike; Solar Beam; Solar Blade; Stealth Rock; Stone Edge; Substitute; Sunny Day; Swift; Swords Dance; Synthesis; Take Down; Taunt; Tera Blast; Trailblaze; Upper Hand; Vacuum Wave; Work Up; X-Scissor; Zen Headbutt
Keldeo,647,72,Aerial Ace; Air Slash; Aqua Jet; Aqua Tail; Aura Sphere; Baton Pass; Body Slam; Bounce; Brick Break; Bubble Beam; Calm Mind; Chilling Water; Close Combat; Coaching; Double Kick; Double-Edge; Earth Power; Endure; Facade; False Swipe; Flip Turn; Focus Blast; Giga Impact; Headbutt; Helping Hand; Hydro Pump; Hyper Beam; Ice Beam; Icy Wind; Leer; Light Screen; Liquidation; Low Kick; Megahorn; Muddy Water; Pain Split; Poison Jab; Protect; Psych Up; Quick Guard; Rain Dance; Reflect; Rest; Retaliate; Reversal; Roar; Sacred Sword; Safeguard; Scald; Secret Sword; Skull Bash; Sleep Talk; Smart Strike; Stealth Rock; Stone Edge; Substitute; Sunny Day; Surf; Swift; Swords Dance; Take Down; Taunt; Tera Blast; Trailblaze; Upper Hand; Vacuum Wave; Water Pulse; Waterfall; Whirlpool; Work Up; X-Scissor; Zen Headbutt
Machamp,068,43,Body Slam; Brick Break; Brutal Swing; Bulk Up; Bulldoze; Bullet Punch; Close Combat; Comet Punch; Detect; Dig; Double-Edge; Drain Punch; Dual Chop; Dynamic Punch; Earthquake; Endure; Facade; Fire Blast; Fire Punch; Fissure; Flamethrower; Focus Blast; Focus Energy; Giga Impact; Heavy Slam; Hyper Beam; Ice Punch; Knock Off; Leer; Light Screen; Low Sweep; Metronome; Poison Jab; Power-Up Punch; Protect; Rock Slide; Rock Smash; Rock Tomb; Stone Edge; Storm Throw; Substitute; Thunder Punch; Work Up
Slowpoke,079,72,Acid; Amnesia; Avalanche; Belch; Belly Drum; Blizzard; Block; Body Slam; Bulldoze; Calm Mind; Chilling Water; Confusion; Curse; Dig; Disable; Dream Eater; Earthquake; Endure; Expanding Force; Facade; Fire Blast; Flamethrower; Foul Play; Grass Knot; Growl; Headbutt; Heal Pulse; Helping Hand; Hydro Pump; Ice Beam; Icy Wind; Imprison; Iron Tail; Light Screen; Liquidation; Mud Shot; Protect; Psybeam; Psych Up; Psychic; Psychic Terrain; Psyshock; Rain Dance; Rest; Safeguard; Scald; Shadow Ball; Skill Swap; Skull Bash; Slack Off; Sleep Talk; Snowscape; Stomp; Stored Power; Substitute; Sunny Day; Surf; Swift; Tackle; Take Down; Tera Blast; Thunder Wave; Tri Attack; Trick; Trick Room; Water Gun; Water Pulse; Waterfall; Weather Ball; Whirlpool; Yawn; Zen Headbutt
Igglybuff,174,67,Alluring Voice; Body Slam; Brick Break; Calm Mind; Charm; Confusion; Copycat; Covet; Dazzling Gleam; Defense Curl; Dig; Disable; Disarming Voice; Double-Edge; Draining Kiss; Encore; Endeavor; Endure; Energy Ball; Facade; Fake Tears; Fire Blast; Flamethrower; Fling; Grass Knot; Gravity; Heal Pulse; Helping Hand; Hyper Voice; Icy Wind; Last Resort; Light Screen; Mimic; Misty Terrain; Nasty Plot; Pain Split; Perish Song; Play Rough; Pound; Present; Protect; Psych Up; Psychic; Psyshock; Rain Dance; Reflect; Rest; Rollout; Shadow Ball; Sing; Sleep Talk; Solar Beam; Stealth Rock; Substitute; Sunny Day; Sweet Kiss; Swift; Tackle; Take Down; Taunt; Tera Blast; Thunder Wave; Trailblaze; Water Pulse; Wild Charge; Wish; Zen Headbutt
Ampharos,181,67,After You; Agility; Body Slam; Breaking Swipe; Brick Break; Bulldoze; Charge; Charge Beam; Comet Punch; Confuse Ray; Cotton Guard; Cotton Spore; Dazzling Gleam; Dig; Discharge; Double-Edge; Dragon Cheer; Dragon Pulse; Dragon Tail; Dual Chop; Eerie Impulse; Electric Terrain; Electro Ball; Electroweb; Endeavor; Endure; Facade; Fire Punch; Flash Cannon; Flatter; Fling; Focus Blast; Focus Punch; Giga Impact; Growl; Helping Hand; Hyper Beam; Ice Punch; Light Screen; Low Kick; Magnetic Flux; Meteor Beam; Outrage; Power Gem; Protect; Rain Dance; Reflect; Rest; Roar; Sleep Talk; Stomping Tantrum; Substitute; Sunny Day; Supercell Slam; Swift; Tackle; Take Down; Tera Blast; Thunder; Thunder Punch; Thunder Shock; Thunder Wave; Thunderbolt; Trailblaze; Volt Switch; Wild Charge; Zap Cannon
Abomasnow,460,69,Aurora Veil; Avalanche; Blizzard; Body Press; Body Slam; Brick Break; Bulldoze; Bullet Seed; Chilling Water; Curse; Double-Edge; Earth Power; Earthquake; Endure; Energy Ball; Facade; Fling; Focus Blast; Focus Punch; Frost Breath; Giga Drain; Giga Impact; Grass Knot; Grassy Glide; Growth; Hard Press; Helping Hand; Hyper Beam; Ice Beam; Ice Hammer; Ice Punch; Ice Shard; Ice Spinner; Icicle Spear; Icy Wind; Ingrain; Leaf Storm; Leafage; Leech Seed; Leer; Low Kick; Magical Leaf; Mist; Mud-Slap; Outrage; Powder Snow; Protect; Rain Dance; Razor Leaf; Rest; Rock Slide; Rock Tomb; Scary Face; Seed Bomb; Sheer Cold; Sleep Talk; Snowscape; Solar Beam; Stomp; Stomping Tantrum; Substitute; Swagger; Swords Dance; Take Down; Tera Blast; Trailblaze; Water Pulse; Weather Ball; Wood Hammer
Pignite,499,79,Arm Thrust; Assurance; Body Slam; Brick Break; Bulk Up; Bulldoze; Close Combat; Coaching; Curse; Defense Curl; Dig; Double Team; Double-Edge; Drain Punch; Ember; Endeavor; Endure; Facade; Fire Blast; Fire Pledge; Fire Punch; Fire Spin; Flame Charge; Flame Wheel; Flamethrower; Flare Blitz; Fling; Focus Blast; Focus Energy; Focus Punch; Grass Knot; Gyro Ball; Head Smash; Headbutt; Heat Crash; Heat Wave; Heavy Slam; Helping Hand; High Horsepower; Knock Off; Low Kick; Low Sweep; Mud-Slap; Overheat; Poison Jab; Power-Up Punch; Protect; Rest; Reversal; Roar; Rock Slide; Rock Smash; Rock Tomb; Rollout; Scary Face; Sleep Talk; Smog; Smokescreen; Solar Beam; Stomping Tantrum; Stone Edge; Substitute; Sucker Punch; Sunny Day; Superpower; Tackle; Tail Whip; Take Down; Taunt; Temper Flare; Tera Blast; Thrash; Thunder Punch; Trailblaze; Wild Charge; Will-O-Wisp; Work Up; Yawn; Zen Headbutt
Goodra,706,80,Absorb; Acid Armor; Acid Spray; Ancient Power; Aqua Tail; Blizzard; Body Press; Body Slam; Breaking Swipe; Bulldoze; Charm; Chilling Water; Counter; Curse; Draco Meteor; Dragon Breath; Dragon Cheer; Dragon Claw; Dragon Pulse; Dragon Tail; Earthquake; Endure; Facade; Feint; Fire Blast; Fire Punch; Flail; Flamethrower; Flash Cannon; Focus Blast; Focus Punch; Giga Drain; Giga Impact; Gyro Ball; Heavy Slam; Hydro Pump; Hyper Beam; Ice Beam; Ice Spinner; Iron Defense; Iron Head; Iron Tail; Knock Off; Lash Out; Life Dew; Magnet Bomb; Mud Shot; Muddy Water; Outrage; Poison Tail; Power Whip; Protect; Rain Dance; Rest; Rock Slide; Rock Tomb; Sandstorm; Scald; Scary Face; Shelter; Skitter Smack; Sleep Talk; Sludge Bomb; Sludge Wave; Steel Beam; Stomping Tantrum; Substitute; Sunny Day; Surf; Tackle; Take Down; Tearful Look; Tera Blast; Thunder; Thunder Punch; Thunderbolt; Toxic; Water Gun; Water Pulse; Weather Ball
Marshadow,802,44,Agility; Aura Sphere; Blaze Kick; Brick Break; Brutal Swing; Bulk Up; Calm Mind; Close Combat; Comet Punch; Drain Punch; Dual Chop; Endure; Facade; False Swipe; Fire Punch; Focus Blast; Giga Impact; Hyper Beam; Ice Punch; Iron Head; Knock Off; Low Sweep; Mach Punch; Ominous Wind; Outrage; Phantom Force; Poison Jab; Power-Up Punch; Protect; Rock Slide; Rock Tomb; Shadow Ball; Shadow Claw; Shadow Punch; Shadow Sneak; Spectral Thief; Stone Edge; Substitute; Swift; Thunder Punch; Vacuum Wave; Will-O-Wisp; Work Up; Zen Headbutt
Arctibax,997,40,Aerial Ace; Aqua Tail; Avalanche; Bite; Blizzard; Body Slam; Brick Break; Crunch; Dig; Draco Meteor; Dragon Breath; Dragon Claw; Dragon Pulse; Dragon Rush; Dragon Tail; Endure; Facade; Focus Energy; Freeze-Dry; Frost Breath; Helping Hand; Ice Beam; Ice Fang; Icicle Crash; Icicle Spear; Icy Wind; Iron Head; Leer; Outrage; Protect; Rain Dance; Rest; Scary Face; Sleep Talk; Snowscape; Substitute; Swords Dance; Tackle; Take Down; Tera Blast
Golurk,623,89,Astonish; Body Press; Body Slam; Brick Break; Bulldoze; Charge Beam; Close Combat; Comet Punch; Confuse Ray; Curse; Defense Curl; Dig; Double-Edge; Drain Punch; Dynamic Punch; Earth Power; Earthquake; Endure; Facade; Fire Punch; Fissure; Flash Cannon; Fling; Fly; Focus Blast; Focus Punch; Giga Impact; Grass Knot; Gravity; Gyro Ball; Hammer Arm; Hard Press; Harden; Heat Crash; Heavy Slam; Helping Hand; Hex; High Horsepower; Hyper Beam; Ice Beam; Ice Punch; Icy Wind; Imprison; Iron Defense; Iron Head; Knock Off; Low Kick; Low Sweep; Magnet Bomb; Mega Punch; Mud Shot; Mud-Slap; Mud-slap; Night Shade; Phantom Force; Poltergeist; Pound; Protect; Psych Up; Psychic; Rain Dance; Reflect; Rest; Rock Slide; Rock Tomb; Rollout; Safeguard; Sandstorm; Scorching Sands; Self-Destruct; Shadow Ball; Shadow Punch; Skull Bash; Sleep Talk; Smack Down; Solar Beam; Stealth Rock; Stomping Tantrum; Stone Edge; Substitute; Sunny Day; Tackle; Take Down; Tera Blast; Thief; Thunder Punch; Thunderbolt; Trick; Zen Headbutt
Chesnaught,652,95,Aerial Ace; Belly Drum; Bite; Body Press; Body Slam; Brick Break; Bulk Up; Bulldoze; Bullet Seed; Close Combat; Coaching; Crunch; Curse; Dig; Double-Edge; Dragon Claw; Drain Punch; Dual Chop; Earthquake; Endeavor; Endure; Energy Ball; Facade; Feint; Fling; Focus Blast; Focus Punch; Frenzy Plant; Giga Drain; Giga Impact; Grass Knot; Grass Pledge; Grassy Glide; Grassy Terrain; Growl; Growth; Gyro Ball; Hammer Arm; Headbutt; Helping Hand; High Horsepower; Hyper Beam; Iron Defense; Iron Head; Knock Off; Leaf Storm; Leech Seed; Low Kick; Low Sweep; Magical Leaf; Metal Claw; Mud Shot; Mud-Slap; Pain Split; Pin Missile; Poison Jab; Protect; Quick Guard; Rain Dance; Reflect; Rest; Reversal; Roar; Rock Slide; Rock Smash; Rock Tomb; Rollout; Scary Face; Seed Bomb; Shadow Claw; Skull Bash; Sleep Talk; Smack Down; Solar Beam; Solar Blade; Spikes; Spiky Shield; Stomping Tantrum; Stone Edge; Substitute; Sunny Day; Super Fang; Swift; Swords Dance; Synthesis; Tackle; Take Down; Taunt; Tera Blast; Thunder Punch; Trailblaze; Vine Whip; Wide Guard; Wood Hammer; Zen Headbutt
